Dataset,Country,Target,Pattern,Rate,Method,MAE,nRMSE,n_rolls_used
Influenza_Study,Germany,INF_ALL,Point,0.5,SAITS,4.041467920661259,4.12210099537699,3
Influenza_Study,Germany,INF_ALL,Sequence,0.1,LOCF,7.526819955557585,0.9872626247649562,3
Influenza_Study,Germany,INF_ALL,Sequence,0.1,Linear,7.396706463769078,5.471971925086428,3
Influenza_Study,Germany,INF_ALL,Sequence,0.1,SAITS,5.239674472173654,0.46215379639664056,3
Influenza_Study,Germany,INF_ALL,Sequence,0.3,LOCF,7.5388574581593275,1.7687891411722252,3
Influenza_Study,Germany,INF_ALL,Sequence,0.3,Linear,9.499344168230891,7.226278684897635,3
Influenza_Study,Germany,INF_ALL,Sequence,0.3,SAITS,3.1990835293399633,2.4811998172625596,3
Influenza_Study,Germany,INF_ALL,Sequence,0.5,LOCF,7.531064854934812,,3
Influenza_Study,Germany,INF_ALL,Sequence,0.5,Linear,8.704164359718561,1.1022052897440975,3
Influenza_Study,Germany,INF_ALL,Sequence,0.5,SAITS,1.1990019369945182,0.3595800332845373,3
Influenza_Study,Germany,RSV,Block,0.1,LOCF,0.4216682268306613,,3
Influenza_Study,Germany,RSV,Block,0.1,Linear,1.1451746858656406,2.4027502358918182,3
Influenza_Study,Germany,RSV,Block,0.1,SAITS,0.3923705578208461,0.4151033430286466,3
Influenza_Study,Germany,RSV,Block,0.3,LOCF,0.6606341144070029,0.5617429451602435,3
Influenza_Study,Germany,RSV,Block,0.3,Linear,0.6606341144070029,0.5617429451602435,3
Influenza_Study,Germany,RSV,Block,0.3,SAITS,1.489060334928805,1.0394207804721103,3
Influenza_Study,Germany,RSV,Block,0.5,LOCF,0.6787508483976126,0.3442048663359527,3
Influenza_Study,Germany,RSV,Block,0.5,Linear,0.6844224249944091,0.4548096385014368,3
Influenza_Study,Germany,RSV,Block,0.5,SAITS,0.1849820668179749,0.44538182261903075,3
Influenza_Study,Germany,RSV,Point,0.1,LOCF,0.6088510677218437,0.8773732887581467,3
Influenza_Study,Germany,RSV,Point,0.1,Linear,0.9792026057839394,0.8699909519723678,3
Influenza_Study,Germany,RSV,Point,0.1,SAITS,0.7778435247133029,0.9937648908382911,3
Influenza_Study,Germany,RSV,Point,0.3,LOCF,0.4657329944893718,0.6563890509282427,3
Influenza_Study,Germany,RSV,Point,0.3,Linear,1.6291736755520105,2.8668645677010223,3
Influenza_Study,Germany,RSV,Point,0.3,SAITS,0.4863047876537294,0.4544643507913075,3
Influenza_Study,Germany,RSV,Point,0.5,LOCF,0.8116675745695829,1.7622215095938294,3
Influenza_Study,Germany,RSV,Point,0.5,Linear,1.4304493879899383,2.9757726161465365,3
Influenza_Study,Germany,RSV,Point,0.5,SAITS,0.7052054651967934,0.9454585013173215,3
Influenza_Study,Germany,RSV,Sequence,0.1,LOCF,1.3762834407389164,2.9839652477770393,3
Influenza_Study,Germany,RSV,Sequence,0.1,Linear,0.837001109495759,0.7251519430309147,3
Influenza_Study,Germany,RSV,Sequence,0.1,SAITS,0.6419203053928175,1.073299284566492,3
Influenza_Study,Germany,RSV,Sequence,0.3,LOCF,0.9118793793022633,1.7723165917072619,3
Influenza_Study,Germany,RSV,Sequence,0.3,Linear,1.3274270072579384,0.47572398657774184,3
Influenza_Study,Germany,RSV,Sequence,0.3,SAITS,0.7393454667028578,0.769378685750678,3
Influenza_Study,Germany,RSV,Sequence,0.5,LOCF,1.3624271029839292,,3
Influenza_Study,Germany,RSV,Sequence,0.5,Linear,0.5483758344780654,,3
Influenza_Study,Germany,RSV,Sequence,0.5,SAITS,0.640605702010455,0.37813021121758056,3
Influenza_Study,India,INF_ALL,Block,0.1,LOCF,21.545748978853226,0.457858306425121,3
Influenza_Study,India,INF_ALL,Block,0.1,Linear,37.78663018764928,0.6208652256758289,3
Influenza_Study,India,INF_ALL,Block,0.1,SAITS,41.338749098897324,0.5256617323366064,3
Influenza_Study,India,INF_ALL,Block,0.3,LOCF,20.301627116743475,0.4371190461113179,3
Influenza_Study,India,INF_ALL,Block,0.3,Linear,31.731809527380392,0.5358320530958859,3
Influenza_Study,India,INF_ALL,Block,0.3,SAITS,20.478738612360445,0.47908557124637885,3
Influenza_Study,India,INF_ALL,Block,0.5,LOCF,25.778734812512994,0.5686347413278625,3
Influenza_Study,India,INF_ALL,Block,0.5,Linear,25.778734812512994,0.5686347413278625,3
Influenza_Study,India,INF_ALL,Block,0.5,SAITS,28.693135450900144,0.6170965808880677,3
Influenza_Study,India,INF_ALL,Point,0.1,LOCF,20.815050000324845,0.48405807996455674,3
Influenza_Study,India,INF_ALL,Point,0.1,Linear,19.93014183966443,0.46948933316858726,3
Influenza_Study,India,INF_ALL,Point,0.1,SAITS,23.98340776698312,0.5002934077085317,3
Influenza_Study,India,INF_ALL,Point,0.3,LOCF,24.857521718833596,0.6673085322201107,3
Influenza_Study,India,INF_ALL,Point,0.3,Linear,20.641625224146992,0.48196127682037754,3
Influenza_Study,India,INF_ALL,Point,0.3,SAITS,28.949941383857173,0.5198688083844946,3
Influenza_Study,India,INF_ALL,Point,0.5,LOCF,28.4807509300299,0.7250911664904105,3
Influenza_Study,India,INF_ALL,Point,0.5,Linear,19.087154056411237,0.4493944079892614,3
Influenza_Study,India,INF_ALL,Point,0.5,SAITS,20.27191833301825,0.5003183963058283,3
Influenza_Study,India,INF_ALL,Sequence,0.1,LOCF,21.633801297750324,0.49929890778698005,3
Influenza_Study,India,INF_ALL,Sequence,0.1,Linear,20.913775346707553,0.4855157230621172,3
Influenza_Study,India,INF_ALL,Sequence,0.1,SAITS,19.83277593469304,0.462505602710208,3
Influenza_Study,India,INF_ALL,Sequence,0.3,LOCF,29.939489416778088,0.7232589938738012,3
Influenza_Study,India,INF_ALL,Sequence,0.3,Linear,27.64140972448513,0.836926873514192,3
Influenza_Study,India,INF_ALL,Sequence,0.3,SAITS,13.047009451240669,0.5664921104018731,3
Influenza_Study,India,INF_ALL,Sequence,0.5,LOCF,35.49333191057667,0.5380836421162656,3
Influenza_Study,India,INF_ALL,Sequence,0.5,Linear,35.375862028915435,0.5615425363660556,3
Influenza_Study,India,INF_ALL,Sequence,0.5,SAITS,11.704487133934402,0.5585065076004059,3
Influenza_Study,India,RSV,Block,0.1,LOCF,23.959201940335333,0.5529154732461534,3
Influenza_Study,India,RSV,Block,0.1,Linear,23.959201940335333,0.5529154732461534,3
Influenza_Study,India,RSV,Block,0.1,SAITS,23.495497764088213,0.5060069302379803,3
Influenza_Study,India,RSV,Block,0.3,LOCF,23.72537779714912,0.5494233062234313,3
Influenza_Study,India,RSV,Block,0.3,Linear,23.72537779714912,0.5494233062234313,3
Influenza_Study,India,RSV,Block,0.3,SAITS,23.978538151364774,0.5532381220205956,3
Influenza_Study,India,RSV,Block,0.5,LOCF,23.72537779714912,0.5494233062234313,3
Influenza_Study,India,RSV,Block,0.5,Linear,23.72537779714912,0.5494233062234313,3
Influenza_Study,India,RSV,Block,0.5,SAITS,23.727375610964373,0.43266937845507675,3
Influenza_Study,India,RSV,Point,0.1,LOCF,23.77391348546371,0.552014917202356,3
Influenza_Study,India,RSV,Point,0.1,Linear,24.328283886425197,0.5576818742133482,3
Influenza_Study,India,RSV,Point,0.1,SAITS,23.8469233697625,0.5561281627509408,3
Influenza_Study,India,RSV,Point,0.3,LOCF,21.656635844148695,0.5510417345478132,3
Influenza_Study,India,RSV,Point,0.3,Linear,23.323403691872954,0.5667965835934552,3
