Dataset,Country,Target,Pattern,Rate,Method,MAE,RMSE,KL_Div,MASE
COVID19_Study,Montenegro,new_cases,Point,0.1,most_frequent,208.47967479674796,802.3386396546828,1.23836177168052,0.4776805655018195
COVID19_Study,Montenegro,new_cases,Point,0.1,LOCF,418.4227642276423,1083.2031316379416,0.8994150642628891,0.9587141903878892
COVID19_Study,Montenegro,new_cases,Point,0.1,Linear,415.6341463414634,951.9727468049913,0.8969646230738995,0.9523247494501235
COVID19_Study,Montenegro,new_cases,Point,0.1,Rolling,370.5365853658537,874.6421981698182,1.1303988129135691,0.848994636092147
COVID19_Study,Montenegro,new_cases,Point,0.1,MICE,378.1561453852733,765.8419054614136,2.4104004697696615,0.8664530081972449
COVID19_Study,Montenegro,new_cases,Point,0.1,SAITS,208.48830437245002,802.3321317551429,1.23836177168052,0.4777003380796759
COVID19_Study,Montenegro,new_cases,Point,0.3,mean,405.4310311896492,1152.5462520346773,1.0277164062234574,0.9758328632506955
COVID19_Study,Montenegro,new_cases,Point,0.3,median,237.5027624309392,1176.3793831237754,1.0277164062234574,0.5716459344832954
COVID19_Study,Montenegro,new_cases,Point,0.3,most_frequent,237.5027624309392,1176.3793831237754,1.0277164062234574,0.5716459344832954
COVID19_Study,Montenegro,new_cases,Point,0.3,LOCF,456.6353591160221,1417.8844154124881,0.29084987989802724,1.0990766756066541
